SafeName,MemberName,MemberType,MembershipExpiryDate,Permissions,RiskFlags,UseAccounts,RetrieveAccounts,ListAccounts,AddAccounts,UpdateAccountContent,UpdateAccountProperties,ManageSafe,ManageSafeMembers,DeleteAccounts,ViewAuditLog,AccessWithoutConfirmation,RequestsAuthorizationLevel1,RequestsAuthorizationLevel2
IT-Infra-Windows,svc_cyberark_cpm,User,No Expiry,UseAccounts | RetrieveAccounts | ListAccounts | InitiateCPM,OK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IT-Infra-Windows,GG-PAM-Admins,Group,No Expiry,UseAccounts | RetrieveAccounts | ListAccounts | AddAccounts | UpdateAccountContent | UpdateAccountProperties | ManageSafe | ManageSafeMembers | DeleteAccounts | ViewAuditLog,RETRIEVE+MANAGE | FULL_ADMIN,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
IT-Infra-Windows,john.smith,User,2026-12-31,RetrieveAccounts | ListAccounts,OK,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
IT-Infra-Windows,jane.doe,User,No Expiry,UseAccounts | RetrieveAccounts | ListAccounts | AccessWithoutConfirmation,BYPASSES_DUAL_CONTROL,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DB-Oracle-Prod,svc_cyberark_cpm,User,No Expiry,UseAccounts | RetrieveAccounts | ListAccounts | InitiateCPM,OK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DB-Oracle-Prod,GG-DBA-Team,Group,No Expiry,UseAccounts | ListAccounts | ViewAuditLog,OK,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DB-Oracle-Prod,mike.johnson,User,No Expiry,RetrieveAccounts | ListAccounts | DeleteAccounts,DELETE_WITHOUT_MANAGE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Network-Devices,svc_cyberark_cpm,User,No Expiry,UseAccounts | RetrieveAccounts | ListAccounts | InitiateCPM,OK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Network-Devices,GG-NetEng,Group,No Expiry,UseAccounts | RetrieveAccounts | ListAccounts | ViewAuditLog,OK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Network-Devices,GG-PAM-Admins,Group,No Expiry,ManageSafe | ManageSafeMembers | ViewAuditLog | ViewSafeMembers,OK,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
SaaS-Accounts,svc_cyberark_cpm,User,No Expiry,UseAccounts | RetrieveAccounts | ListAccounts | InitiateCPM,OK,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SaaS-Accounts,sarah.lee,User,2028-06-30,RetrieveAccounts | ListAccounts,OK,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
